,user_id,recipe_id,rating,dateLastModified
0,8542392,222388,5,"2017-04-22T12:46:43.663
"
1,11174581,222388,5,"2013-06-20T15:50:25.96
"
2,8262477,222388,5,"2015-02-14T07:27:51.307
"
3,3574785,240488,5,"2017-10-07T18:20:08.973
"
4,12145410,240488,2,"2018-01-06T00:06:09.563
"
5,13549066,240488,5,"2016-10-04T18:42:41.707
"
6,3450379,240488,5,"2015-10-18T12:29:37.597
"
7,9823884,240488,5,"2018-01-08T01:59:16.27
"
8,2805827,240488,4,"2017-11-03T00:48:01.04
"
9,21469095,240488,4,"2017-02-17T20:50:51.47
"
10,626067,240488,5,"2017-01-01T22:50:54.273
"
11,3632174,240488,5,"2015-01-01T18:03:24.937
"
12,5398328,240488,5,"2016-10-16T02:18:55.623
"
13,15395769,240488,5,"2016-01-24T11:01:48.773
"
14,4944959,240488,5,"2017-01-01T20:44:56.63
"
15,22635659,240488,5,"2018-02-02T01:31:03.677
"
16,10646597,240488,5,"2017-03-30T23:57:57.517
"
17,13138758,240488,5,"2015-01-01T17:53:35.66
"
18,1407201,240488,4,"2017-01-08T22:52:41.77
"
19,4802768,240488,5,"2017-08-18T02:56:23.603
"
20,11283031,240488,5,"2016-11-29T22:54:43.717
"
21,16090716,240488,5,"2016-11-10T01:57:04.293
"
22,11455967,240488,5,"2015-04-28T17:57:19.3
"
23,18195408,240488,5,"2016-11-20T13:20:05.857
"
24,3261924,240488,4,"2016-10-06T13:18:36.42
"
25,16345701,240488,5,"2016-12-09T13:50:10.91
"
26,3316710,240488,5,"2015-10-05T05:48:04.563
"
27,4727443,240488,5,"2016-12-04T17:24:41.693
"
28,2856948,240488,5,"2015-03-10T11:33:47.057
"
29,2419703,240488,5,"2014-12-13T13:09:05.84
"
30,3895544,240488,5,"2015-11-01T08:52:59.31
"
31,7639676,240488,5,"2016-08-15T11:18:54.137
"
32,2783111,218939,5,"2011-09-28T07:58:33.85
"
33,4676104,218939,5,"2012-07-01T07:17:31.617
"
34,17425417,218939,5,"2016-02-22T12:54:14.83
"
35,15463626,218939,5,"2015-09-20T15:43:40.523
"
36,3338458,218939,3,"2012-04-04T18:25:16.77
"
37,9470683,218939,4,"2012-06-20T09:48:41.14
"
38,6119642,218939,3,"2011-10-21T20:08:33.047
"
39,9577438,218939,5,"2014-09-08T11:55:36.02
"
40,13774946,218939,5,"2014-07-02T13:15:26.313
"
41,9051880,218939,5,"2012-03-27T10:12:23.067
"
42,1462942,218939,5,"2012-08-07T11:41:53.87
"
43,15412089,218939,4,"2015-02-22T20:49:59.003
"
44,1563136,87211,5,"2008-04-13T18:55:21.64
"
45,5404163,87211,5,"2011-04-23T21:06:17.07
"
46,2415621,87211,5,"2007-07-09T10:57:29.897
"
47,2928647,87211,4,"2008-05-04T23:44:39.133
"
48,2882568,87211,5,"2008-11-13T06:50:53.087
"
49,2963807,87211,3,"2008-06-12T12:16:44.05
"
50,674114,87211,5,"2008-03-29T02:38:27.153
"
51,2056462,87211,5,"2008-11-25T19:53:18.057
"
52,16087568,87211,5,"2016-10-23T15:29:26.36
"
